"","GeneName"
"870","Gtf3c1"
"871","Frem1"
"872","Slc35a3"
"873","Rnaseh2a"
"874","Anapc16"
"875","AK010878"
"876","4931428F04Rik"
"877","Hnrnpc"
"878","Iqcc"
"879","Ndufa9"
"880","Ubb"
"881","Trnt1"
"882","Tmem184c"
"883","Uqcrc2"
"884","Tmem219"
"885","Aldh3b1"
"886","Pnkd"
"887","Atg4a"
"888","Hist3h2a"
"889","Vta1"
"890","Dph5"
"891","Gstp1"
"892","Trmt1"
"893","Sf3a3"
"894","Armcx4"
"895","Mtf1"
"896","Gt(ROSA)26Sor"
"897","Snrpa1"
"898","Med6"
"899","Nfib"
"900","Psma5"
"901","Nkap"
"902","Gm16124"
"903","Ypel2"
"904","Tiam2"
"905","Tecr"
"906","Psma1"
"907","Alkbh1"
"908","Ndufs4"
"909","Exd1"
"910","Eef1a1"
"911","Glrx3"
"912","Ubxn1"
"913","Trmt6"
"914","Dvl3"
"915","Stat3"
"916","Ssr3"
"917","Fhdc1"
"918","Smarcb1"
"919","Socs4"
"920","Eif5"
"921","Uchl3"
"922","Foxn2"
"923","Cuta"
"924","Gspt1"
"925","Lect1"
"926","A530017D24Rik"
"927","Trmt2a"
"928","Hebp1"
"929","Rbmx"
"930","Ice1"
"931","Cpd"
"932","Dnajc7"
"933","Ahsa1"
"934","Ufd1l"
"935","Rnls"
"936","Nkiras2"
"937","Rsl1d1"
"938","Mrps31"
"939","Zfp954"
"940","Spef1"
"941","Nudt2"
"942","Rpp25l"
"943","2610318N02Rik"
"944","Ufl1"
"945","Erlin2"
"946","Dpysl4"
"947","Sbsn"
"948","Tet3"
"949","Ssh2"
"950","Myef2"
"951","Ttll5"
"952","Slc8a1"
"953","Gse1"
"954","Tmem147os"
"955","4833420G17Rik"
"956","Tmem229b"
"957","Dip2c"
"958","Gm26724"
"959","Rpp30"
"960","Ttc5"
"961","Jarid2"
"962","Insm1"
"963","Ero1l"
"964","Mak16"
"965","Ccng2"
"966","Thoc1"
"967","Ppia"
"968","Smc3"
"969","Dnajb3"
"970","Cfl2"
"971","Amn1"
"972","Gsto1"
"973","1300002E11Rik"
"974","Gyg"
"975","Sfr1"
"976","Rdx"
"977","Gatm"
"978","Rnf13"
"979","Gsn"
"980","Ttll7"
"981","Sept4"
"982","Plp1"
"983","Plekhb1"
"984","Cnp"
"985","Rnf7"
